timestamp,Ford Stock price
2022-03-21T02:00:00.000Z,22.32056755
2022-03-21T03:00:00.000Z,20.86611186
2022-03-21T04:00:00.000Z,18.53601835
2022-03-21T05:00:00.000Z,17.51567245
2022-03-21T06:00:00.000Z,17.20668975
2022-03-21T07:00:00.000Z,18.28860291
2022-03-23T20:00:00.000Z,18.28860291
2022-03-23T21:00:00.000Z,17.49047714
2022-03-23T22:00:00.000Z,17.1831431
2022-03-23T23:00:00.000Z,17.28988567
2022-03-24T00:00:00.000Z,17.85781004
2022-03-24T01:00:00.000Z,18.19921922
2022-03-24T02:00:00.000Z,18.13420906
2022-03-24T03:00:00.000Z,18.58881497
2022-03-24T04:00:00.000Z,18.6733003
2022-03-24T05:00:00.000Z,19.16008332
2022-03-24T06:00:00.000Z,19.2070958
2022-03-24T07:00:00.000Z,18.98470822
2022-03-24T08:00:00.000Z,19.42938021
2022-03-24T09:00:00.000Z,20.84931247
2022-03-24T10:00:00.000Z,18.72653999
2022-03-24T11:00:00.000Z,18.28860291
2022-03-24T12:00:00.000Z,17.49047714
2022-03-24T13:00:00.000Z,17.1831431
2022-03-24T14:00:00.000Z,17.28988567
2022-03-24T15:00:00.000Z,17.85781004
2022-03-24T16:00:00.000Z,18.19921922
2022-03-24T17:00:00.000Z,18.13420906
2022-03-24T18:00:00.000Z,18.58881497
2022-03-24T19:00:00.000Z,18.6733003
2022-03-24T20:00:00.000Z,19.16008332
2022-03-24T21:00:00.000Z,19.2070958
2022-03-24T22:00:00.000Z,18.98470822
2022-03-24T23:00:00.000Z,19.42938021
2022-03-25T00:00:00.000Z,20.84931247
2022-03-25T01:00:00.000Z,21.58981452
2022-03-25T02:00:00.000Z,22.33971825
2022-03-25T03:00:00.000Z,22.78918589
2022-03-25T04:00:00.000Z,23.34126286
2022-03-25T05:00:00.000Z,23.49264201
2022-03-25T06:00:00.000Z,23.09622832
2022-03-25T07:00:00.000Z,22.26675029
2022-03-25T08:00:00.000Z,21.02661426
2022-03-25T09:00:00.000Z,20.00933499
2022-03-25T10:00:00.000Z,18.98514147
2022-03-25T11:00:00.000Z,18.5245615
2022-03-25T12:00:00.000Z,18.29069425
2022-03-25T13:00:00.000Z,18.05955087
2022-03-25T14:00:00.000Z,18.473279
2022-03-25T15:00:00.000Z,18.72584815
2022-03-25T16:00:00.000Z,18.55951286
2022-03-25T17:00:00.000Z,18.17967404
2022-03-25T18:00:00.000Z,17.76812994
2022-03-25T19:00:00.000Z,17.44302132
2022-03-25T20:00:00.000Z,17.34512052
2022-03-25T21:00:00.000Z,17.43747011
2022-03-25T22:00:00.000Z,17.89291916
2022-03-25T23:00:00.000Z,18.912204
2022-03-26T00:00:00.000Z,19.616197
2022-03-26T01:00:00.000Z,20.72998682
2022-03-26T02:00:00.000Z,21.76891307
2022-03-26T03:00:00.000Z,22.55338984
2022-03-26T04:00:00.000Z,22.83726683
2022-03-26T05:00:00.000Z,23.20147738
2022-03-26T06:00:00.000Z,22.56820629
2022-03-26T07:00:00.000Z,22.32056755
2022-03-26T08:00:00.000Z,20.86611186
2022-03-26T09:00:00.000Z,18.53601835
2022-03-26T10:00:00.000Z,17.51567245
2022-03-26T11:00:00.000Z,17.20668975
2022-03-26T12:00:00.000Z,17.19746046
2022-03-26T13:00:00.000Z,17.33778359
2022-03-26T14:00:00.000Z,17.28662296
2022-03-26T15:00:00.000Z,17.42911049
2022-03-26T16:00:00.000Z,17.4228793
2022-03-26T17:00:00.000Z,17.42095612
2022-03-26T18:00:00.000Z,17.14175783
2022-03-26T19:00:00.000Z,17.30485846
2022-03-26T20:00:00.000Z,17.33748279
2022-03-26T21:00:00.000Z,17.70165093
2022-03-26T22:00:00.000Z,17.56375289
2022-03-26T23:00:00.000Z,18.82761634
2022-03-27T00:00:00.000Z,19.44046487
2022-03-27T01:00:00.000Z,20.56460497
